"network_code","network_name","list_type","stores","list_ids"
"MAGNIT","""АО ""ТАНДЕР""   ""","MUST","329","5"
"MAGNIT","""АО ""ТАНДЕР""   ""","Top","329","5"
"DETSKIY MIR","""ПАО ""ДЕТСКИЙ МИР""   ""","MUST","67","1"
"DETSKIY MIR","""ПАО ""ДЕТСКИЙ МИР""   ""","Top","67","1"
"AVOSIKA","""ООО ""АВОСЬКА-ДВА""   ""","MUST","22","2"
"AVOSIKA","""ООО ""АВОСЬКА-ДВА""   ""","Top","22","2"
"SPAR","""ООО ""СПАР МИДДЛ ВОЛГА""   ""","MUST","18","5"
"SPAR","""ООО ""СПАР МИДДЛ ВОЛГА""   ""","Top","18","5"
"KARAVAN","""ООО ""КАРАВАН 24""   ""","MUST","17","3"
"KARAVAN","""ООО ""КАРАВАН 24""   ""","Top","17","3"
"DETSKIY MIR","""ПАО ""ДЕТСКИЙ МИР - ЦЕНТР""   ""","MUST","14","1"
"DETSKIY MIR","""ПАО ""ДЕТСКИЙ МИР - ЦЕНТР""   ""","Top","14","1"
"PYATEROCHKA","""ООО ""АГРОТОРГ""   ""","MUST","14","3"
"PYATEROCHKA","""ООО ""АГРОТОРГ""   ""","Top","14","3"
"ATAC","""ООО ""АТАК"" ООО ""АТАК""  ""","MUST","12","3"
"ATAC","""ООО ""АТАК"" ООО ""АТАК""  ""","Top","12","3"
"BAHETLE","""ООО ""БАХЕТЛЕ-1""   ""","MUST","10","3"
"BAHETLE","""ООО ""БАХЕТЛЕ-1""   ""","Top","10","3"
"DC VICTORIA","""ООО ""ВИКТОРИЯ БАЛТИЯ""   ""","MUST","9","1"
"DC VICTORIA","""ООО ""ВИКТОРИЯ БАЛТИЯ""   ""","Top","9","1"
"KHLEB-SOL'","""ООО МАЯК   ""","MUST","9","1"
"KHLEB-SOL'","""ООО МАЯК   ""","Top","9","1"
"KRASNY YAR","""ООО ""СМАРТ""   ""","MUST","9","3"
"KRASNY YAR","""ООО ""СМАРТ""   ""","Top","9","3"
"BELOE MOLOKO","""АО ФИРМА ОРТ ""УНИВЕРСАЛ""""","MUST","8","1"
"PEREKRESTOK","""АО ""ТОРГОВЫЙ ДОМ ""ПЕРЕКРЕСТОК""   ""","MUST","8","2"
"PEREKRESTOK","""АО ""ТОРГОВЫЙ ДОМ ""ПЕРЕКРЕСТОК""   ""","Top","8","2"
"TITAN DV","""ООО РТС ""ТИТАН""   ""","MUST","8","3"
"TITAN DV","""ООО РТС ""ТИТАН""   ""","Top","8","3"
"ABSOLUT","""ИП ШАГДАРОВА ИНДИРА ВАЛЕРЬЕВНА   ""","MUST","7","2"
"ABSOLUT","""ИП ШАГДАРОВА ИНДИРА ВАЛЕРЬЕВНА   ""","Top","7","2"
"DESYATOCHKA","""ИП ЗАБЕЛИН АЛЕКСАНДР ВЛАДИМИРОВИЧ   ""","MUST","6","1"
"DESYATOCHKA","""ИП ЗАБЕЛИН АЛЕКСАНДР ВЛАДИМИРОВИЧ   ""","Top","6","1"
"DIXY","""АО ""ДИКСИ ЮГ""   ""","MUST","6","2"
"DIXY","""АО ""ДИКСИ ЮГ""   ""","Top","6","2"
"LENTA EXPRESS","""ООО ""ЛЕНТА ЦЕНТР""   ""","MUST","6","2"
"LENTA EXPRESS","""ООО ""ЛЕНТА ЦЕНТР""   ""","Top","6","2"
"SPAR","""ООО ""СЛАДКАЯ ЖИЗНЬ Н.Н."" 0  ""","MUST","6","2"
"SPAR","""ООО ""СЛАДКАЯ ЖИЗНЬ Н.Н."" 0  ""","Top","6","2"
"TITAN DV","""ИП БРЕДНИЙ РАИСА ИННОКЕНТЬЕВНА   ""","MUST","6","2"
"TITAN DV","""ИП БРЕДНИЙ РАИСА ИННОКЕНТЬЕВНА   ""","Top","6","2"
"VERNIY","""ООО ""СОЮЗ СВЯТОГО ИОАННА ВОИНА""   ""","MUST","6","3"
"VERNIY","""ООО ""СОЮЗ СВЯТОГО ИОАННА ВОИНА""   ""","Top","6","3"
"DETSKIY MIR","""ОСП ПАО ""ДЕТСКИЙ МИР""   ""","MUST","5","1"
"DETSKIY MIR","""ОСП ПАО ""ДЕТСКИЙ МИР""   ""","Top","5","1"
"PEREKRESTOK","""АО ""ТД ""ПЕРЕКРЕСТОК""   ""","MUST","5","1"
"PEREKRESTOK","""АО ""ТД ""ПЕРЕКРЕСТОК""   ""","Top","5","1"
"SPAR SH","""ООО ""СПАР МИДДЛ ВОЛГА""   ""","MUST","5","2"
"SPAR SH","""ООО ""СПАР МИДДЛ ВОЛГА""   ""","Top","5","2"
"ZELGROS","""ООО ""ЗЕЛЬГРОС""   ""","MUST","5","1"
"ZELGROS","""ООО ""ЗЕЛЬГРОС""   ""","Top","5","1"
"AGAT","""ТОП ООО ТОРГОВЫЙ ДОМ ""АГАТ""   ""","MUST","4","2"
"AGAT","""ТОП ООО ТОРГОВЫЙ ДОМ ""АГАТ""   ""","Top","4","2"
"BAHETLE","""ООО ""БАХЕТЛЕ-1"" (ФИЛИАЛ)  ""","MUST","4","2"
"BAHETLE","""ООО ""БАХЕТЛЕ-1"" (ФИЛИАЛ)  ""","Top","4","2"
"KHLEB-SOL'","""ООО ""МАЯК"" -  ""","MUST","4","1"
"KHLEB-SOL'","""ООО ""МАЯК"" -  ""","Top","4","1"
"NIKOLAEVSKY","""ООО ""ЛОГИСТИКА"" -  ""","MUST","4","2"
"NIKOLAEVSKY","""ООО ""ЛОГИСТИКА"" -  ""","Top","4","2"
"ATAC","""ООО ""АТАК"" АТАК  ""","MUST","3","2"
"ATAC","""ООО ""АТАК"" АТАК  ""","Top","3","2"
"DESYATOCHKA","""ИП БАУКИНА ЕЛЕНА ЛЕОНИДОВНА   ""","MUST","3","1"
"DESYATOCHKA","""ИП ВОСКРЕСЕНСКАЯ ИРИНА АЛЕКСАНДРОВНА   ""","MUST","3","1"
"DESYATOCHKA","""ИП БАУКИНА ЕЛЕНА ЛЕОНИДОВНА   ""","Top","3","1"
"DESYATOCHKA","""ИП ВОСКРЕСЕНСКАЯ ИРИНА АЛЕКСАНДРОВНА   ""","Top","3","1"
"LENTA EXPRESS","""ООО ""ЛЕНТА""   ""","MUST","3","2"
"LENTA EXPRESS","""ООО ""ЛЕНТА""   ""","Top","3","2"
"METROPOLIS","""ООО ""КОМПАНИЯ ""МЕТРОПОЛИС""   ""","MUST","3","3"
"METROPOLIS","""ООО ""КОМПАНИЯ ""МЕТРОПОЛИС""   ""","Top","3","3"
"STOPCEN","""ООО ""ТОРГЭКОНОМ""   ""","MUST","3","1"
"STOPCEN","""ООО ""ТОРГЭКОНОМ""   ""","Top","3","1"
"TITAN DV","""ООО ""СЕЛЕНГА""   ""","MUST","3","1"
"TITAN DV","""ИП БРЕДНИЙ ВАДИМ ВИТАЛЬЕВИЧ   ""","MUST","3","1"
"TITAN DV","""ООО ""РЕГИОН""   ""","MUST","3","1"
"TITAN DV","""ООО ""СЕЛЕНГА""   ""","Top","3","1"
"TITAN DV","""ИП БРЕДНИЙ ВАДИМ ВИТАЛЬЕВИЧ   ""","Top","3","1"
"TITAN DV","""ООО ""РЕГИОН""   ""","Top","3","1"
"ABSOLUT","""ИП ШАГДАРОВА ИНДИРА ВАЛЕРЬЕВНА ""","MUST","2","1"
"ABSOLUT","""ИП ШАГДАРОВА ИНДИРА ВАЛЕРЬЕВНА ""","Top","2","1"
"AVOSIKA","""ООО ""ОРИЕНТ-СЕРВИС ПЛЮС""   ""","MUST","2","1"
"AVOSIKA","""ООО ""ОРИЕНТ-СЕРВИС ПЛЮС""   ""","Top","2","1"
"DESYATOCHKA","""ИП ТАРАКАНОВА ИРИНА ВИКТОРОВНА   ""","MUST","2","2"
"DESYATOCHKA","""ИП КРУГЛОВА НАТАЛЬЯ ИГОРЕВНА   ""","MUST","2","1"
"DESYATOCHKA","""ИП КОЛОСКОВА ЕЛЕНА ВЛАДИМИРОВНА   ""","MUST","2","2"
"DESYATOCHKA","""ИП КОЛОСКОВА ЕЛЕНА ВЛАДИМИРОВНА   ""","Top","2","2"
"DESYATOCHKA","""ИП КРУГЛОВА НАТАЛЬЯ ИГОРЕВНА   ""","Top","2","1"
"DESYATOCHKA","""ИП ТАРАКАНОВА ИРИНА ВИКТОРОВНА   ""","Top","2","2"
"ELISEI","""ООО ""ЕЛИСЕЙ-СУПЕР""   ""","MUST","2","1"
"ELISEI","""ООО ""ЕЛИСЕЙ-СУПЕР""   ""","Top","2","1"
"EVEREST","""ООО ""ПАМИР""   ""","MUST","2","1"
"EVEREST","""ООО ""ПАМИР""   ""","Top","2","1"
"KARAVAN","""ООО ""КАРАВАН У ДОМА""   ""","MUST","2","1"
"KARAVAN","""ООО ""КАРАВАН У ДОМА""   ""","Top","2","1"
"KUPETS","""ООО ""ФУДТРЕЙД""   ""","MUST","2","2"
"KUPETS","""ООО ""ФУДТРЕЙД""   ""","Top","2","2"
"LENTA MINI","""ООО ""ЛЕНТА""   ""","MUST","2","1"
"LENTA MINI","""ООО ""ЛЕНТА""   ""","Top","2","1"
"MAGNIT","""АО ""ТАНДЕР"" 992344  ""","MUST","2","1"
"MAGNIT","""АО ""ТАНДЕР"" 992344  ""","Top","2","1"
"MAGNOLIA","""ЗАО ""Т И К ПРОДУКТЫ""   ""","MUST","2","1"
"MAGNOLIA","""ЗАО ""Т И К ПРОДУКТЫ""   ""","Top","2","1"
"NIKOLAEVSKY","""ООО ""КОРАЛЛ"" -  ""","MUST","2","1"
"NIKOLAEVSKY","""ООО ""КОРАЛЛ"" -  ""","Top","2","1"
"O'KEY","""ООО ""О'КЕЙ""   ""","MUST","2","2"
"O'KEY","""ООО ""О'КЕЙ""   ""","Top","2","2"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 686-ПЯТЕРОЧКА  ""","MUST","2","1"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 946-ПЯТЕРОЧКА  ""","MUST","2","1"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 181-ПЯТЕРОЧКА  ""","MUST","2","2"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 356-ПЯТЕРОЧКА  ""","MUST","2","2"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 684-ПЯТЕРОЧКА  ""","MUST","2","1"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 181-ПЯТЕРОЧКА  ""","Top","2","2"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 946-ПЯТЕРОЧКА  ""","Top","2","1"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 686-ПЯТЕРОЧКА  ""","Top","2","1"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 356-ПЯТЕРОЧКА  ""","Top","2","2"
"PYATEROCHKA","""ООО ""АГРОТОРГ"" 684-ПЯТЕРОЧКА  ""","Top","2","1"
"SIMALAND","""ООО ""ОПТ И РОЗНИЦА""   ""","MUST","2","2"
"SIMALAND","""ООО ""ОПТ И РОЗНИЦА""   ""","Top","2","2"
"SPAR","""ООО ""ПРОДУКТ-СЕРВИС"" SPAR  ""","MUST","2","1"
"SPAR","""ООО ""ПРОДУКТ-СЕРВИС"" SPAR  ""","Top","2","1"
"TITAN DV","""ООО ""МЕГАТИТАН""   ""","MUST","2","1"
"TITAN DV","""ООО ""ЭКОНОМ""   ""","MUST","2","1"
"TITAN DV","""ООО ""ЭКОНОМ""   ""","Top","2","1"
"TITAN DV","""ООО ""МЕГАТИТАН""   ""","Top","2","1"
"UDACHA","""ООО ""ВЕКТОР""   ""","MUST","2","1"
"UDACHA","""ООО ""ВЕКТОР""   ""","Top","2","1"
"VERNIY","""ООО ""СОЮЗ СВ. ИОАННА ВОИНА""   ""","MUST","2","1"
"VERNIY","""ООО ""СОЮЗ СВ. ИОАННА ВОИНА""   ""","Top","2","1"
"YABLOKO","""ООО ""ЭСДЕ""   ""","MUST","2","2"
"YABLOKO","""ООО ""БАРС""   ""","MUST","2","2"
"YABLOKO","""ООО ""БАРС""   ""","Top","2","2"
"YABLOKO","""ООО ""ЭСДЕ""   ""","Top","2","2"
"YABLOKO_SOUTH","""ООО ""КРЫМФРУКТ"" ООО ""КРЫМФРУКТ""  ""","MUST","2","1"
"YABLOKO_SOUTH","""ООО ""КРЫМФРУКТ"" ООО ""КРЫМФРУКТ""  ""","Top","2","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470021  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780098  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780056  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780096  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470004  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780035  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780071  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780140  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780023  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780089  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470003  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470010  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780046  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780028  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780084  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780072  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780103  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780107  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780080  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780105  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780078  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780130  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780026  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780055  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780016  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780083  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780030  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780082  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780062  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780079  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780112  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780088  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780068  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780005  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780092  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470018  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780049  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780101  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780133  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС""   ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780013  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780102  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780136  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470006  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470007  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780100  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470011  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780053  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470024  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780054  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470025  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780058  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780108  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780070  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780043  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780007  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780118  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780021  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780139  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780051  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780115  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780090  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470015  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780004  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780095  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780006  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780087  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780116  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780134  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780077  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780075  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780120  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470029  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780076  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780114  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470008  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780119  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780127  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780111  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780086  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470019  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780034  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470012  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470016  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470002  ""","MUST","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780127  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС""   ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780023  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780051  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780043  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470011  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780070  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780090  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780035  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780120  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780034  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780016  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780088  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780139  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470004  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780134  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780130  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780068  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780053  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780107  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780013  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470006  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780080  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780103  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470018  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470010  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780112  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780098  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470024  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780092  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780119  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780114  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780140  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780046  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780133  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780105  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470015  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780054  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470016  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780005  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470007  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470019  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780055  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780101  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780049  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780006  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780082  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780021  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780102  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780007  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780116  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780136  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780084  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780030  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780089  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470002  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780111  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780075  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780072  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780077  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470025  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780087  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780083  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780096  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780076  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470021  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470012  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780079  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780004  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780078  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780115  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780062  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780108  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780071  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470003  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780086  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780118  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780056  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780095  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470008  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780026  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780100  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780028  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780058  ""","Top","1","1"
"7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 470029  ""","Top","1","1"
"ABSOLUT","""ИП ШАГДАРОВА ИНДИРА ВАЛЕРЬЕВНА КЭШ-11  ""","MUST","1","1"
