"database_name","schema_name","table_name","object_type","approximate_rows","create_date","modify_date"
"HnnDW","dbo","Fact_OSA_202604","TABLE","29924750","01.04.2026 22:57:20","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202605","TABLE","27018746","01.05.2026 23:20:38","01.05.2026 23:20:38"
"HnnDW","dbo","Fact_OSA_202606","TABLE","28340420","01.06.2026 22:55:48","01.06.2026 22:55:48"
"HnnDW","dbo","Fact_OSA_202607","TABLE","30371400","01.07.2026 22:53:49","01.07.2026 22:53:49"
"HnnDW","dbo","Fact_OSA_202608","TABLE","28454073","01.08.2026 1:03:35","01.08.2026 1:03:35"
"HnnDW","dbo","FACT_PICOS","TABLE","227221960","20.02.2023 14:10:09","15.04.2026 16:16:35"
"HnnDW","dbo","FACT_PLANOGRAMM","TABLE","18802294","21.02.2023 11:37:55","15.04.2026 16:16:35"
"HnnDW","dbo","FACT_PosmFaces","TABLE","4657730","08.09.2025 13:59:35","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_Posms","TABLE","754486","08.11.2024 21:24:37","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_PromoFaces","TABLE","17050742","24.07.2024 20:12:12","24.07.2024 20:12:12"
"HnnDW","dbo","Fact_PromoItems","TABLE","255540","24.07.2024 20:12:12","24.07.2024 20:12:12"
"HnnDW","dbo","Fact_Routes","TABLE","10399612","05.04.2023 21:52:34","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_Survey_Question_Results_202510","TABLE","0","16.11.2025 6:38:05","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Survey_Question_Results_202511","TABLE","31","10.11.2025 23:29:29","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Survey_Question_Results_202512","TABLE","2378","01.12.2025 0:16:37","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Survey_Question_Results_202601","TABLE","6458","01.01.2026 0:27:02","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Survey_Question_Results_202602","TABLE","60577","01.02.2026 5:24:09","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Survey_Question_Results_202603","TABLE","35703","01.03.2026 6:20:27","19.04.2026 5:41:51"
