"store_id","network_code","network_name","store_format","city","business_unit","sales_group"
"850297133","MAGNIT","""АО ""ТАНДЕР"" 220013  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850297139","MAGNIT","""АО ""ТАНДЕР"" 834352  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850297140","MAGNIT","""АО ""ТАНДЕР"" 667734  ""","NATIONAL KEY ACCOUNT","Г. ГАТЧИНА","WEST","LENINGRADSKAYA OBL"
"850297243","KHOROSHIY","""ООО ""ТОРГОВАЯ СЕТЬ КОМАНДОР"" К - 353  ""","LOCAL KEY ACCOUNT","Г. ЛЕСОСИБИРСК","SIBERIA","KRASNOYARSK KRAY"
"850297244","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22803-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ВОРОНЕЖ","SOUTH","VORONEZH"
"850297287","PYATEROCHKA","""ООО ""АГРОТОРГ"" 23008-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","ПОС. МИЧУРИНСКИЙ","MOSCOW","BRYANSK"
"850297297","LENTA EXPRESS","""ООО ""ЛЕНТА"" ЛЕНТА 3581 3581  ""","NATIONAL KEY ACCOUNT","Г. ПСКОВ","WEST","PSKOV"
"850297310","NASH","""ООО ""КОРАЛЛ"" 393  ""","LOCAL KEY ACCOUNT","Г. ЧИТА","SIBERIA","CHITA"
"850297313","NASH","""ООО ""КОРАЛЛ"" 159  ""","LOCAL KEY ACCOUNT","Г. ЧИТА","SIBERIA","CHITA"
"850297321","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22957-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. НИЖНИЙ НОВГОРОД","CENTRE","N.NOVGOROD"
"850297327","NIKOLAEVSKY","""ООО ""ЛОГИСТИКА"" 394  ""","LOCAL KEY ACCOUNT","Г. УЛАН-УДЭ","SIBERIA","ULAN-UDE"
"850297332","PYATEROCHKA","""ООО ""АГРОТОРГ"" 23015-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ИРКУТСК","SIBERIA","IRKUTSK"
"850297355","NASH","""ООО ""КОРАЛЛ"" 438  ""","LOCAL KEY ACCOUNT","Г. ЧИТА","SIBERIA","CHITA"
"850297356","NIKOLAEVSKY","""ООО ""ЛОГИСТИКА"" 124  ""","LOCAL KEY ACCOUNT","Г. УЛАН-УДЭ","SIBERIA","ULAN-UDE"
"850297358","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22726-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ХАНТЫ-МАНСИЙСК","CENTRE","SURGUT"
"850297362","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22910-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. МОСКОВСКИЙ","MOSCOW","MOSCOW OBL"
"850297378","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22437-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. НОВОСИБИРСК","SIBERIA","NOVOSIBIRSK"
"850297399","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22966-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ОРЕЛ","MOSCOW","OREL"
"850297402","PYATEROCHKA","""ООО ""АГРОТОРГ"" 21649-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. НОВОЧЕРКАССК","SOUTH","ROSTOV-ON-DON"
"850297407","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22902-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ЭЛЕКТРОСТАЛЬ","MOSCOW","MOSCOW OBL"
"850297417","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22577-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. МОСКВА","MOSCOW","MOSCOW"
"850297427","MAGNIT","""АО ""ТАНДЕР"" 400512  ""","NATIONAL KEY ACCOUNT","Г. ЕКАТЕРИНБУРГ","CENTRE","EKATERINBURG"
"850297430","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22744-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ЕЙСК","SOUTH","ROSTOV-ON-DON"
"850297445","MONETKA","""ООО ""ЭЛЕМЕНТ-ТРЕЙД"" 2397  ""","NATIONAL KEY ACCOUNT","Г. БАРНАУЛ","SIBERIA","BARNAUL"
"850297487","BEGEMOT","""ООО ""УНИВЕРСАМЫ БЕГЕМАГ"" БЕГЕМАГ-51  ""","LOCAL KEY ACCOUNT","Г. ЛЕНИНСК-КУЗНЕЦКИЙ","SIBERIA","KEMEROVO"
"850297489","PYATEROCHKA","""ООО ""АГРОТОРГ"" 21777-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ЧЕБОКСАРЫ","CENTRE","SHEBOKSARY"
"850297491","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22754-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ЧЕБОКСАРЫ","CENTRE","SHEBOKSARY"
"850297556","PYATEROCHKA","""ООО ""АГРОТОРГ"" 23017-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ВОЛГОГРАД","SOUTH","VOLGOGRAD"
"850297593","MAGNIT","""АО ""ТАНДЕР"" 28505  ""","NATIONAL KEY ACCOUNT","Г. БАРНАУЛ","SIBERIA","BARNAUL"
"850297610","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22626-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. РОСТОВ-НА-ДОНУ","SOUTH","ROSTOV-ON-DON"
"850297628","PYATEROCHKA","""ООО ""АГРОТОРГ"" 23043-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ЛЕНИНСК-КУЗНЕЦКИЙ","SIBERIA","KEMEROVO"
"850297629","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22439-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. НОВОКУЗНЕЦК","SIBERIA","NOVOKUZNETSK"
"850297630","MAGNIT","""АО ""ТАНДЕР"" 717595  ""","NATIONAL KEY ACCOUNT","Г. КАНСК","SIBERIA","KRASNOYARSK KRAY"
"850297632","MAGNIT","""АО ""ТАНДЕР"" 942764  ""","NATIONAL KEY ACCOUNT","Г. КРАСНОЯРСК","SIBERIA","KRASNOYARSK"
"850297682","PYATEROCHKA","""ООО ""АГРОТОРГ"" 23030-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. АБАКАН","SIBERIA","KHAKASSIA"
"850297686","O'KEY","""ООО ""О'КЕЙ"" 77ГМ19_ОСН  ""","NATIONAL KEY ACCOUNT","Г. МОСКОВСКИЙ","MOSCOW","MOSCOW OBL"
"850297713","MAGNIT","""АО ""ТАНДЕР"" 182030  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850297764","MAGNIT","""АО ""ТАНДЕР"" 192758  ""","NATIONAL KEY ACCOUNT","Г. НИЖНЕКАМСК","CENTRE","NAB.CHELNY"
"850297767","MAGNIT","""АО ""ТАНДЕР"" 121939  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850297769","MAGNIT","""АО ""ТАНДЕР"" 238278  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850297770","MAGNIT","""АО ""ТАНДЕР"" 279916  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850297781","PYATEROCHKA","""ООО ""АГРОТОРГ"" 23059-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. МОСКВА","MOSCOW","MOSCOW"
"850297782","PYATEROCHKA","""ООО ""ФОРТУНА"" 23005-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. БАЛАШИХА","MOSCOW","MOSCOW OBL"
"850297813","MAGNIT","""АО ""ТАНДЕР"" 457505  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850297820","MAGNIT","""АО ""ТАНДЕР"" 528515  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850297847","MAGNIT","""АО ""ТАНДЕР"" 772517  ""","NATIONAL KEY ACCOUNT","Г. ЕКАТЕРИНБУРГ","CENTRE","EKATERINBURG"
"850297851","MAGNIT","""АО ""ТАНДЕР"" 759816  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850297876","MAGNIT","""АО ""ТАНДЕР"" 819723  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850297877","MAGNIT","""АО ""ТАНДЕР"" 543807  ""","NATIONAL KEY ACCOUNT","Г. ИСКИТИМ","SIBERIA","NOVOSIBIRSK"
"850297880","MAGNIT","""АО ""ТАНДЕР"" 463518  ""","NATIONAL KEY ACCOUNT","Г. НОВОСИБИРСК","SIBERIA","NOVOSIBIRSK"
"850297881","MAGNIT","""АО ""ТАНДЕР"" 608334  ""","NATIONAL KEY ACCOUNT","Г. БАРНАУЛ","SIBERIA","BARNAUL"
"850297897","MAGNIT","""АО ""ТАНДЕР"" 567732  ""","NATIONAL KEY ACCOUNT","Г. КРАСНОЯРСК","SIBERIA","KRASNOYARSK"
"850297898","MAGNIT","""АО ""ТАНДЕР"" 351561  ""","NATIONAL KEY ACCOUNT","Г. КРАСНОЯРСК","SIBERIA","KRASNOYARSK"
"850297900","MAGNIT","""АО ""ТАНДЕР"" 674622  ""","NATIONAL KEY ACCOUNT","Г. КРАСНОЯРСК","SIBERIA","KRASNOYARSK"
"850297935","MONETKA","""ООО ""ЭЛЕМЕНТ-ТРЕЙД"" 2424  ""","NATIONAL KEY ACCOUNT","Г. ЕКАТЕРИНБУРГ","CENTRE","EKATERINBURG"
"850297937","PEREKRESTOK","""АО ""ТД ""ПЕРЕКРЕСТОК"" B41K  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850297944","PEREKRESTOK","""АО ""ТД ""ПЕРЕКРЕСТОК"" B41G  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850297975","MAGNIT","""АО ""ТАНДЕР"" 302585  ""","NATIONAL KEY ACCOUNT","Г. ЕКАТЕРИНБУРГ","CENTRE","EKATERINBURG"
"850297981","MAGNIT","""АО ""ТАНДЕР"" 34373  ""","NATIONAL KEY ACCOUNT","Г. ЕКАТЕРИНБУРГ","CENTRE","EKATERINBURG"
"850298007","DIXY","""АО ""ДИКСИ ЮГ"" 78503  ""","NATIONAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850298024","MAGNIT","""АО ""ТАНДЕР"" 564885  ""","NATIONAL KEY ACCOUNT","Г. ЧЕБОКСАРЫ","CENTRE","SHEBOKSARY"
"850298025","MAGNIT","""АО ""ТАНДЕР"" 774550  ""","NATIONAL KEY ACCOUNT","Г. ЧЕБОКСАРЫ","CENTRE","SHEBOKSARY"
"850298028","MAGNIT","""АО ""ТАНДЕР"" 693463  ""","NATIONAL KEY ACCOUNT","Г. ЧЕБОКСАРЫ","CENTRE","SHEBOKSARY"
"850298047","MAGNIT","""АО ""ТАНДЕР"" 680424  ""","NATIONAL KEY ACCOUNT","Г. ВЛАДИМИР","CENTRE","VLADIMIR"
"850298050","MAGNIT","""АО ""ТАНДЕР"" 309336  ""","NATIONAL KEY ACCOUNT","Г. ЯРОСЛАВЛЬ","WEST","YAROSLAVL"
"850298056","MAGNIT","""АО ""ТАНДЕР"" 120277  ""","NATIONAL KEY ACCOUNT","Г. ИВАНОВО","CENTRE","IVANOVO"
"850298059","MAGNIT","""АО ""ТАНДЕР"" 788669  ""","NATIONAL KEY ACCOUNT","Г. ИВАНОВО","CENTRE","IVANOVO"
"850298066","MAGNIT","""АО ""ТАНДЕР"" 229348  ""","NATIONAL KEY ACCOUNT","Г. ПЕНЗА","CENTRE","PENZA"
"850298068","MAGNIT","""АО ""ТАНДЕР"" 448987  ""","NATIONAL KEY ACCOUNT","С. ЗАСЕЧНОЕ","CENTRE","PENZA"
"850298071","MAGNIT","""АО ""ТАНДЕР"" 832570  ""","NATIONAL KEY ACCOUNT","Г. ПЕНЗА","CENTRE","PENZA"
